SYMBOL, CLOSE_PRICE,BEST_STK,PRC_VOL,CHNG_DELIV,CHANGE,SPREAD, DELIV_QTY,MEAN_DELIV,DELIV_QTY2,DELIV_QTY3,DELIV_QTY4,DELIV_QTY5,DELIV_QTY6,DELIV_QTY7, TURNOVER_LACS,AVG_TRADE_SIZE
NBVENTURES,113.4,False,False,-75.00286984333304,0.5764966740576547,2.882483370288248,283084,1132466,283084,891016.0,889101.0,3467698.0,615819.0,648078.0,692.41,0.10492650401575995
NCC,88.65,False,False,-47.98564605669201,-1.0602678571428445,3.416856492027335,1046379,2011712,1046379,1555746.0,1307829.0,2352451.0,2491385.0,3316483.0,2539.5,0.20153162447424808
NCLIND,262.5,False,True,25.609239653512994,-3.0828872069411197,5.594135802469136,163135,129875,163135,126528.0,150416.0,103294.0,98342.0,137535.0,734.15,0.08290796160361377
NCPSESDL24,105.23,False,False,-99.77702375181774,0.0,0.7317304951059546,115,51575,115,2000.0,7057.0,66.0,300011.0,201.0,0.13,0.007222222222222223
NDL,70.1,False,False,126.35066742582399,-4.9491525423728895,10.271041369472188,143117,63228,143117,12479.0,128204.0,30750.0,26456.0,38363.0,142.87,0.05567809820732658
NDTV,73.9,False,False,84.90578578312451,-1.269205076820292,3.767123287671233,111280,60182,111280,87917.0,43934.0,28144.0,46694.0,43124.0,102.39,0.12306490384615384
NECCLTD,14.2,False,False,-70.29294201887083,-2.0689655172413843,7.142857142857142,65551,220658,65551,15619.0,42921.0,1137780.0,18743.0,43338.0,17.09,0.0433756345177665
NECLIFE,40.1,True,True,98.99211643420254,-5.757931844888357,10.613810741687974,984414,494700,984414,761137.0,183680.0,149016.0,153091.0,736863.0,1001.11,0.07393176279447604
NELCAST,88.75,False,False,331.15734322239325,-1.0039040713887404,5.783689994216309,506916,117571,506916,18146.0,47289.0,35497.0,43969.0,53610.0,814.9,0.12810878792642666
NELCO,362.6,False,False,39.213258058641415,-2.6838432635534084,4.265927977839329,76442,54910,76442,32342.0,53821.0,66376.0,63336.0,37146.0,439.44,0.1305138105138105
NEOGEN,892.1,False,False,-32.7154933481153,0.23595505617977783,2.2598870056497176,19421,28864,19421,14231.0,21279.0,39356.0,21412.0,57486.0,325.01,0.1009975139838409
NESCO,602.3,False,False,0.9022153406383993,-1.1894020178820444,2.957593934849621,33887,33584,33887,44912.0,30618.0,24385.0,37469.0,30235.0,404.45,0.10179964762144475
NESTLEIND,18143.95,False,False,-30.007001779618985,0.8288505568275361,1.9111129751569294,47983,68554,47983,32874.0,66553.0,101063.0,110739.0,52117.0,13610.04,0.6781285500747385
NETF,193.3,False,False,-80.34769463340892,-0.7598316048875602,0.0,260,1323,260,697.0,2356.0,869.0,1624.0,2134.0,0.5,0.07142857142857142
NETFCONSUM,69.79,False,False,61.07210369970294,0.6199538638985105,1.6546762589928141,11929,7406,11929,970.0,4473.0,10275.0,15372.0,1417.0,11.67,0.06412087912087912
NETFDIVOPP,41.34,False,False,24.429967426710096,0.8292682926829352,2.8535980148883517,5348,4298,5348,1978.0,2967.0,1000.0,8664.0,5836.0,3.21,0.039146341463414634
NETFIT,30.33,False,False,-57.56039314722986,0.7976071784646009,3.1978680879413752,262660,618903,262660,742895.0,334707.0,527805.0,1307355.0,537996.0,172.02,0.08490621915103654
NETFLTGILT,22.47,False,False,-61.337772397094426,0.3125000000000013,0.4016064257028106,12774,33040,12774,23989.0,15962.0,42976.0,62069.0,40471.0,3.22,0.05551724137931035
